A_0,A_1,A_2,A_3,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
1.0,1.0,0.0,1.0,0.0,#,1.0,#,#,#,0.0,0.0,#,#,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1,2.0,13,13,0.7,1.5614574986001767e-05,1,1,False
1.0,0.0,1.0,0.0,1.0,#,1.0,#,#,#,1.0,1.0,#,#,0.0,#,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,14.5,9729,19,0.65,0.0001132056686485128,2,2,False
1.0,0.0,1.0,0.0,1.0,#,1.0,#,#,#,1.0,1.0,#,#,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2.0,24,24,0.7,1.5614574986001767e-05,1,1,False
1.0,1.0,#,#,#,#,0.0,#,#,#,#,1.0,#,#,#,#,0.0,0.0,#,0.0,0.0,0.42340576771014893,0.9176470588235294,1,56.321288662301654,9938,96,0.35,0.0004397164925628802,78,85,False
1.0,1.0,#,#,#,#,0.0,#,#,#,#,1.0,#,#,#,#,#,0.0,0.0,0.0,0.0,0.27697953220485594,0.8795180722891566,1,45.4988869580681,9965,125,0.35,0.0003552228910931861,73,83,False
0.0,0.0,1.0,0.0,#,#,0.0,#,#,#,#,0.0,#,#,#,#,1.0,#,1.0,0.0,0.0,1.0,1.0,1,67.4795294705373,9945,212,0.45,0.0005268320864689103,24,24,False
#,1.0,0.0,#,#,#,0.0,#,#,#,#,1.0,#,#,#,#,0.0,0.0,#,0.0,0.0,0.08966986063941502,0.7857142857142857,1,48.85763456633761,9859,1135,0.35,0.00038144559928737526,55,70,False
0.0,1.0,0.0,1.0,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,15,43.04957932276342,9998,1777,0.25,0.005041506633383404,228,228,False
#,0.0,0.0,1.0,#,#,#,0.0,#,1.0,#,#,#,1.0,#,#,#,#,#,#,1.0,0.06788776891818736,0.7641509433962265,1,34.59795373933258,9928,1941,0.3,0.0002701161715125144,81,106,False
#,0.0,0.0,1.0,0.0,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,1.0,0.06541156622109023,0.7613168724279835,1,38.01851652968201,9987,2146,0.25,0.0002968214886046337,185,243,False
1.0,1.0,1.0,#,#,#,#,1.0,#,0.0,#,#,#,#,#,#,#,0.0,0.0,#,0.0,0.09405385072968116,0.7894736842105263,1,38.996171758728664,9938,2321,0.35,0.0003044543240468366,45,57,False
0.0,1.0,0.0,#,#,#,0.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0945820933955188,0.7899159663865546,1,41.04974168575303,9960,2410,0.25,0.0003204871348540966,188,238,False
0.0,1.0,1.0,1.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,0.0,1.0,1.0,15,45.937555448118985,9957,2475,0.25,0.00537971553163701,245,245,False
0.0,1.0,#,1.0,0.0,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,1.0,0.0795031238958749,0.7763157894736842,1,40.52124256416376,9980,2494,0.25,0.00031636099027205073,177,228,False
0.0,0.0,#,0.0,#,#,0.0,#,#,#,#,#,#,#,#,#,0.0,1.0,#,0.0,0.0,0.07125318561721058,0.7678571428571429,1,50.06977700558126,9861,2616,0.35,0.0003909091437930178,43,56,False
0.0,0.0,1.0,1.0,#,#,#,0.0,#,0.0,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,1,43.193794405180284,9858,2659,0.3,0.0003372263708348156,102,102,False
#,#,#,#,#,#,0.0,0.0,#,1.0,#,#,0.0,#,#,#,0.0,#,0.0,0.0,0.0,0.04973502207609711,0.7407407407407407,1,43.855311751562006,9815,2850,0.35,0.00429198333802255,40,54,False
1.0,#,0.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,#,#,0.0,0.1449867902909395,0.824390243902439,1,49.53997026670127,9771,2986,0.25,0.00038677279026685246,169,205,False
#,0.0,0.0,1.0,#,#,#,#,1.0,1.0,#,#,#,1.0,#,#,#,#,#,#,1.0,0.07493853760058765,0.7717391304347826,1,39.70212603492808,9896,3173,0.3,0.0003099659120380387,71,92,False
#,1.0,1.0,1.0,#,#,#,#,#,#,#,1.0,#,#,0.0,#,#,#,#,1.0,1.0,1.0,1.0,1,48.87670242469275,9997,3315,0.3,0.00038159446753942966,118,118,False
1.0,1.0,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,0.0,#,0.0,0.0,0.10737418240000006,0.8,1,42.04192513459064,9965,3327,0.25,0.000328233396284969,160,200,False
