Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,# Rules Removed via Rule Compaction,Total Global Time,Total Matching Time,Total Covering Time,Total Crossover Time,Total Mutation Time,Total Attribute Tracking Time,Total Expert Knowledge Time,Total Model Initialization Time,Total Classifier Add Time,Total Rule Compaction Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
0,1.0,0,1,1,1,1,0.0,0,0,0,1,0,0,0.6207771301269531,5.0067901611328125e-06,6.794929504394531e-05,0.0,0.0,0.046875,2.8848648071289062e-05,0.6204440593719482,2.1457672119140625e-06,0.0,2.1457672119140625e-06,0.0,0.0,0.00011801719665527344
1,1.0,0,2,2,1,1,1.0,0,0,0,1,0,0,0.6209561824798584,1.0967254638671875e-05,9.989738464355469e-05,0.0,0.0,0.04691791534423828,2.8848648071289062e-05,0.6204440593719482,2.86102294921875e-06,0.0,3.337860107421875e-06,0.0,0.0,0.0001881122589111328
2,1.0,0,3,3,1,1,2.0,0,0,0,1,0,0,0.6211051940917969,1.8835067749023438e-05,0.00011968612670898438,0.0,0.0,0.04695606231689453,2.8848648071289062e-05,0.6204440593719482,4.0531158447265625e-06,0.0,4.291534423828125e-06,0.0,0.0,0.00024509429931640625
3,1.0,0,4,4,1,1,3.0,0,0,0,1,0,0,0.621258020401001,2.6702880859375e-05,0.00014472007751464844,0.0,0.0,0.04699397087097168,2.8848648071289062e-05,0.6204440593719482,5.0067901611328125e-06,0.0,5.245208740234375e-06,0.0,0.0,0.00030112266540527344
4,1.0,0,5,5,1,1,4.0,0,0,0,1,0,0,0.6214141845703125,3.695487976074219e-05,0.0001666545867919922,0.0,0.0,0.04703330993652344,2.8848648071289062e-05,0.6204440593719482,6.198883056640625e-06,0.0,6.198883056640625e-06,0.0,0.0,0.0003600120544433594
5,1.0,0,6,6,1,1,5.0,0,0,0,1,0,0,0.6215691566467285,5.173683166503906e-05,0.0001876354217529297,0.0,0.0,0.04707026481628418,2.8848648071289062e-05,0.6204440593719482,7.3909759521484375e-06,0.0,7.3909759521484375e-06,0.0,0.0,0.0004172325134277344
6,1.0,0,7,7,1,1,6.0,0,0,0,1,0,0,0.6217279434204102,6.771087646484375e-05,0.0002105236053466797,0.0,0.0,0.04711031913757324,2.8848648071289062e-05,0.6204440593719482,8.344650268554688e-06,0.0,8.344650268554688e-06,0.0,0.0,0.0004715919494628906
7,1.0,0,8,8,1,1,7.0,0,0,0,1,0,0,0.6218700408935547,8.58306884765625e-05,0.0002224445343017578,0.0,0.0,0.04714536666870117,2.8848648071289062e-05,0.6204440593719482,9.298324584960938e-06,0.0,8.344650268554688e-06,0.0,0.0,0.0005240440368652344
8,1.0,0,9,9,1,1,8.0,0,0,0,1,0,0,0.6220211982727051,0.00010371208190917969,0.0002396106719970703,0.0,0.0,0.047185420989990234,2.8848648071289062e-05,0.6204440593719482,1.049041748046875e-05,0.0,8.344650268554688e-06,0.0,0.0,0.0005769729614257812
9,1.0,0,10,10,1,1,9.0,0,0,0,1,0,0,0.62217116355896,0.00012373924255371094,0.0002562999725341797,0.0,0.0,0.04722166061401367,2.8848648071289062e-05,0.6204440593719482,1.1444091796875e-05,0.0,9.298324584960938e-06,0.0,0.0,0.0006310939788818359
