Specified Values,Specified Attribute Names,panc_type01,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"0.0, [-1437.4633095,1538.5339005]","cig_stat, total_GlyIndex",0.0,0.8638352638352639,0.8638352638352639,1,307.90554087081495,9994,1,0.05405405405405406,0.0008832324467320865,3356,3885,True
"[-959.9991,1609.9009732], 0.0","bmi_curr, ibuppd",0.0,0.8482463407898371,0.8482463407898371,1,292.8572959186382,9994,29,0.05405405405405406,0.0009601048491421966,6143,7242,True
"[-959.9991,2736.10679951], [-959.9991,-1558.0960568], 0.0","totalcarbadj, bmi_curr, gallblad_f",0.0,0.07777777777777778,0.7777777777777778,1,8.26605158465536,72,72,0.08108108108108109,2.3160565324149728e-05,0,0,True
"[-959.9991,3072.0858901], [1609.9009732,2962.40627246491], 0.0","totalcholadj, bmi_curr, ibuppd",0.0,0.08000000000000002,0.8,1,7.622228412956664,72,72,0.08108108108108109,2.1356643769509367e-05,0,0,True
5.0,total_Marital,0.0,0.8473520249221184,0.8473520249221184,1,286.15802584386813,9898,104,0.02702702702702703,0.0008474246449269016,272,321,True
"[-959.9991,2976.02721927], [-959.9991,3052.8538418000003], 2.0, 1996.0","total_fatadj, bmi_50, agelevel, rndyear",0.0,0.8962264150943396,0.8962264150943396,1,347.07128418611876,9898,120,0.10810810810810811,0.0009724554785565478,380,424,True
"9.0, 1996.0","center, rndyear",0.0,0.9303482587064676,0.9303482587064676,1,386.8358127500071,9859,163,0.05405405405405406,0.0010838713041119543,187,201,True
"[-959.9991,2784.24339578], [-959.9991,1885.520335], 1.0","totalfolate_NDSRadj, total_GlyLoad, asp",0.0,0.8798457913900193,0.8798457913900193,1,308.1411173052894,9972,189,0.08108108108108109,0.00090149225620631,4108,4669,True
"[-959.9991,2376.9977949999998], [-959.9991,2976.02721927], [-959.9991,3052.8538418000003]","cig_years, total_fatadj, bmi_50",0.0,0.8687245962869383,0.8687245962869383,1,310.39152467132885,9994,199,0.08108108108108109,0.0009596549375586886,7908,9103,True
"[-959.9991,3576.3754542]",bmi_20,0.0,0.848335258901376,0.848335258901376,1,301.0164859988478,9994,291,0.02702702702702703,0.0009595118525677841,8077,9521,True
"[-959.9991,3024.03609155], 6.0","total_proteinadj, asppd",0.0,0.8538011695906432,0.8538011695906432,1,318.8057939227133,9911,306,0.05405405405405406,0.0008932586907116755,438,513,True
"0.0, [-959.9991,2784.24339578], 1.0","cig_stat, totalfolate_NDSRadj, asp",0.0,0.8739930955120828,0.8739930955120828,1,307.3345792539311,9952,341,0.08108108108108109,0.0008725595343529127,1519,1738,True
"[-959.9991,2784.24339578], [-959.9991,1609.9009732], 1.0, 1.0","totalfolate_NDSRadj, bmi_curr, asp, sex",0.0,0.9097151576805697,0.9097151576805697,1,313.65353647182036,9952,363,0.10810810810810811,0.0009316586445614905,3577,3932,True
"[-959.9991,2784.24339578], [-959.9991,1609.9009732], 1.0","totalfolate_NDSRadj, bmi_curr, race7",0.0,0.8755230125523012,0.8755230125523012,1,314.5320924405683,9994,363,0.08108108108108109,0.000960616498578677,7533,8604,True
"[-959.9991,2784.24339578], [-959.9991,1488.07362221], [-959.9991,1609.9009732]","totalfolate_NDSRadj, totalcholadj, bmi_curr",0.0,0.8695220222982669,0.8695220222982669,1,301.033189012584,9994,371,0.08108108108108109,0.0009596546748432242,7877,9059,True
"[-959.9991,1296.23776425], [-959.9991,2979.6350005], [-959.9991,1609.9009732], 0.0, 1.0","totalfolate_NDSRadj, total_GlyIndex, bmi_curr, ibuppd, race7",0.0,0.8776091081593927,0.8776091081593927,1,311.19108683012536,9994,438,0.13513513513513514,0.0009689672862896655,5550,6324,True
"[-959.9991,2976.02721927], [-959.9991,3024.11479803], [-959.9991,3052.8538418000003], 1996.0","total_fatadj, totalcholadj, bmi_50, rndyear",0.0,0.8790238836967809,0.8790238836967809,1,359.454464792389,9976,492,0.10810810810810811,0.001024981936631418,1693,1926,True
"[-959.9991,2976.02721927], [-959.9991,1680.1370324400002], 1.0, [-959.9991,3052.8538418000003], 1996.0","total_fatadj, totalcarbadj, fh_cancer, bmi_50, rndyear",0.0,0.8752417794970987,0.8752417794970987,1,340.861175282159,9826,492,0.13513513513513514,0.0009550554379849113,905,1034,True
"[-959.9991,1296.23776425], [-959.9991,2979.6350005], 2.0, [-959.9991,1609.9009732], 0.0, 1.0","totalfolate_NDSRadj, total_GlyIndex, bmi_curc, bmi_curr, gallblad_f, race7",0.0,0.8711879836140192,0.8711879836140192,1,338.0519294728413,9994,510,0.16216216216216217,0.0009471842409070855,1914,2197,True
"[-905.1647050000004,3990.8307050000003], [-959.9991,1296.23776425], [-959.9991,2979.6350005], [-959.9991,1609.9009732], 1.0","tot_Kcal, totalfolate_NDSRadj, total_GlyIndex, bmi_curr, race7",0.0,0.8745219000616903,0.8745219000616903,1,314.32164405174325,9994,510,0.13513513513513514,0.0009591769156038002,7088,8105,True
"[-959.9991,1296.23776425], [-959.9991,-959.9991], 2.0, [-959.9991,1609.9009732], 0.0, 0.0, 1.0","totalfolate_NDSRadj, total_GlyIndex, bmi_curc, bmi_curr, gallblad_f, agelevel, race7",0.0,0.1,1.0,1,70.57397698560001,584,584,0.1891891891891892,0.00019774050372420678,0,0,True
"[-959.9991,3503.9967149999998], [-959.9991,1296.23776425], [-959.9991,2979.6350005], 2.0, [-959.9991,1609.9009732], 1.0","pack_years, totalfolate_NDSRadj, total_GlyIndex, bmi_curc, bmi_curr, race7",0.0,0.8684097728246892,0.8684097728246892,1,338.08980076408545,9994,584,0.16216216216216217,0.0009472903520903738,2026,2333,True
"[-959.9991,2979.6350005], 0.0, 1.0, 1.0","total_GlyIndex, ibuppd, race7, sex",0.0,0.9119122839620888,0.9119122839620888,1,318.44250865488254,9994,644,0.10810810810810811,0.0010086502639958985,4907,5381,True
"2.0, [-959.9991,2979.6350005], 1.0","cig_stat, total_GlyIndex, race7",0.0,0.8943441636582431,0.8943441636582431,2,337.7609134852948,9976,677,0.08108108108108109,0.0020278757151216426,3716,4155,True
"0.0, [-959.9991,8495.662971887301], [-959.9991,1296.23776425], [-959.9991,2979.6350005], 1.0, 1.0","cig_stat, tot_Kcal, totalfolate_NDSRadj, total_GlyIndex, race7, sex",0.0,0.912707182320442,0.912707182320442,1,319.2949760268257,9994,695,0.16216216216216217,0.0009330948557663525,2478,2715,True
"[-959.9991,2688.1404365200005], [-959.9991,2784.24339578], [-959.9991,1609.9009732], 1.0, 2.0, 1.0","totalcarbadj, totalfolate_NDSRadj, bmi_curr, asp, occupat, sex",0.0,0.9198931909212283,0.9198931909212283,1,349.59753518499036,9952,695,0.16216216216216217,0.0009795337553717056,1378,1498,True
"[-959.9991,2979.6350005], 0.0, 1.0","total_GlyIndex, asp, race7",0.0,0.8679152291769344,0.8679152291769344,1,340.7576171408586,9994,735,0.08108108108108109,0.0009847158119393458,3522,4058,True
"[-959.9991,2784.24339578], [-959.9991,2979.6350005], [-959.9991,1296.04558691], 0.0, 4.0","totalfolate_NDSRadj, total_GlyIndex, Totalredmeatadj, asp, educat",0.0,0.8761726078799249,0.8761726078799249,1,337.0991290571846,9614,755,0.13513513513513514,0.000944514599175275,467,533,True
"[-959.9991,3003.1186074], [-959.9991,2663.7220622000004], 1.0","bmi_curr, bmi_20, sex",0.0,0.8936285097192225,0.8936285097192225,1,319.3242485522614,9994,786,0.08108108108108109,0.0009933974877317031,6620,7408,True
"[-905.1647050000004,3143.169710873455], [-959.9991,1296.23776425], [-959.9991,2979.6350005], [998.4024873403284,1609.9009732], [-959.9991,1410.3271774], 1.0, 1997.0","tot_Kcal, totalfolate_NDSRadj, total_GlyIndex, bmi_curr, bmi_20, race7, rndyear",0.0,0.1,1.0,1,103.63007999999999,845,845,0.1891891891891892,0.0002903600603996148,0,0,True
"[-959.9991,2976.02616362], [-959.9991,1609.9009732], [-959.9991,1410.3271774], 1.0, 1997.0","Totalredmeatadj, bmi_curr, bmi_20, race7, rndyear",0.0,0.8908807482462977,0.8908807482462977,1,311.950111543149,9912,865,0.13513513513513514,0.0009009393860551912,1143,1283,True
"[-959.9991,2927.99879801], [-905.1647050000004,3143.169710873455], [-959.9991,1296.23776425], [-959.9991,2979.6350005]","total_alcadj, tot_Kcal, totalfolate_NDSRadj, total_GlyIndex",0.0,0.8590506412799154,0.8590506412799154,1,300.8646689532049,9994,865,0.10810810810810811,0.0009582137122290541,6497,7563,True
"[-959.9991,2063.9980649999998], [-959.9991,3312.04572177], [-959.9991,3024.11479803], [-959.9991,1604.384709], [-959.9991,2750.9974800000005], 1996.0","pack_years, total_proteinadj, totalcholadj, bmi_20, age, rndyear",0.0,0.8769063180827886,0.8769063180827886,1,359.5735727744005,9976,950,0.16216216216216217,0.0010253990959259362,1610,1836,True
"[-959.9991,2088.711219], 1.0","bmi_curr, race7",0.0,0.85760556621881,0.85760556621881,1,314.50595513398855,9994,1005,0.05405405405405406,0.000960437704995265,7149,8336,True
"[2044.5100531862,2784.24339578], [-959.9991,1488.07362221], [-959.9991,1609.9009732], 4.0","totalfolate_NDSRadj, totalcholadj, bmi_curr, center",0.0,0.08687500000000001,0.86875,1,103.03116041075313,1043,1043,0.10810810810810811,0.0002886819537330154,0,0,True
"[-959.9991,3052.8538418000003], [-959.9991,2750.9974800000005]","bmi_50, age",0.0,0.8486849595810088,0.8486849595810088,1,301.01648599892815,9994,1074,0.05405405405405406,0.0009595118525684708,7454,8783,True
