cig_stat,cig_stop,cig_years,pack_years,total_alcadj,total_fatadj,tot_Kcal,totalcarbadj,total_proteinadj,totalfolate_NDSRadj,total_GlyIndex,total_GlyLoad,totalcholadj,Totalredmeatadj,totalCALCIUMadj,bmi_curc,bmi_curr,diabetes_f,panc_fh,fh_cancer,bmi_20,bmi_50,asp,asppd,ibup,ibuppd,gallblad_f,liver_comorbidity,age,agelevel,educat,race7,total_Marital,occupat,center,rndyear,sex,panc_type01,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2.0,1.0,0.37269681742043553,0.37269681742043553,5,165.47517963458617,19972,31,0.02702702702702703,0.0033043197736543216,1335,3582,True
#,#,#,#,#,#,#,#,"-959.9991,2496.03417166",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"2613.035776362594,3615.99667",#,#,#,#,#,#,#,#,0.0,0.08954545454545455,0.8954545454545455,1,14.133759999999999,137,137,0.05405405405405406,5.644648671446212e-05,0,0,True
#,#,"-959.9991,579.1848484459829",#,#,#,#,#,#,#,#,#,#,#,#,2.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.8387096774193549,0.8387096774193549,1,219.80677323139406,19990,612,0.08108108108108109,0.0008886482207821141,4238,5053,True
#,#,"-959.9991,579.1848484459829",#,#,#,#,#,"-959.9991,2208.04345521",#,#,#,#,#,#,#,#,#,#,#,"-959.9991,2228.962427",#,#,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,1.0,0.0,0.914739481749791,0.914739481749791,1,228.4312006146365,19930,1567,0.16216216216216217,0.0009157194218410312,3283,3589,True
#,#,#,#,#,#,#,#,"-959.9991,2640.03521202","-959.9991,2304.20561064",#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.1413386286648756,0.1413386286648756,1,244.97929308121957,19996,1705,0.08108108108108109,0.000978382285550864,1210,8561,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.16621170761298149,0.16621170761298149,2,211.8639042468597,19996,1761,0.02702702702702703,0.0017415666322060045,1644,9891,True
#,#,#,#,#,#,"-115.2987949999997,4588.696795","-959.9991,1824.14842971",#,#,#,#,#,#,"-959.9991,2448.47104932",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,2.0,#,#,#,0.0,0.901213171577123,0.901213171577123,1,243.54069968313675,19965,2242,0.13513513513513514,0.0009726369252835047,4680,5193,True
#,#,"-959.9991,579.1848484459829",#,#,#,#,#,"-959.9991,3408.0327622399996",#,#,#,#,#,"-959.9991,2448.47104932",#,#,0.0,#,0.0,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,0.0,0.8967862608399932,0.8967862608399932,2,239.75504497445672,19979,3337,0.16216216216216217,0.0019444999169939818,5274,5881,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,5.0,#,#,#,#,#,2.0,1.0,0.41915227629513346,0.41915227629513346,2,190.8475165959248,19890,3687,0.05405405405405406,0.0015243886708165354,267,637,True
1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.2511990407673861,0.2511990407673861,2,219.18438315491306,19996,4130,0.02702702702702703,0.0017507285211821023,419,1668,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.129023307436182,0.129023307436182,1,213.49361868190675,19972,4813,0.02702702702702703,0.0008411484990901127,465,3604,True
#,#,#,#,#,#,#,#,#,#,#,"-959.9991,2065.846155",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,2.0,#,2.0,1.0,0.4270833333333333,0.4270833333333333,1,194.38029549741844,19923,5612,0.10810810810810811,0.0007763033168348869,41,96,True
#,#,#,#,#,#,#,"-959.9991,1824.14842971",#,#,#,#,#,#,"-959.9991,2544.41373375",#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.0,0.9095587534546841,0.9095587534546841,1,219.80567450869123,19990,5666,0.10810810810810811,0.0009257794686589247,9544,10493,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-959.9991,2519.997705",3.0,#,#,#,#,#,1994.0,#,1.0,0.25348189415041783,0.25348189415041783,2,237.18720627763417,19996,5684,0.08108108108108109,0.0018945255173415797,91,359,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,3.0,#,#,#,#,#,#,#,1.0,0.1974921630094044,0.1974921630094044,1,196.79779094489965,19996,5684,0.02702702702702703,0.0007757719232203638,441,2233,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,2.0,1.0,0.3722713864306785,0.3722713864306785,1,182.73183154174276,19972,5787,0.05405405405405406,0.0007297824429897149,631,1695,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2.0,#,#,#,#,#,#,#,1.0,0.15944584382871538,0.15944584382871538,2,230.8275335010899,19904,6082,0.02702702702702703,0.001843727826579952,633,3970,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,#,#,#,#,#,#,#,0.0,#,#,#,1.0,#,#,#,#,1.0,0.0,0.9076698624426844,0.9076698624426844,1,232.92195836668046,19990,6118,0.13513513513513514,0.0009381380402579118,4355,4798,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,#,#,#,#,0.0,0.8675423180094348,0.8675423180094348,1,230.44604019622253,19990,6223,0.05405405405405406,0.0009437496459149712,9379,10811,True
1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-959.9991,2887.9973449999998",#,#,1.0,#,#,#,#,2.0,1.0,0.5089285714285714,0.5089285714285714,3,217.01400200401844,19972,6349,0.10810810810810811,0.002600089002708143,114,224,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,1.0,0.15140981073773657,0.15140981073773657,1,217.64216927133037,19996,6394,0.02702702702702703,0.0009089035589303411,1960,12945,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.1472136352243295,0.1472136352243295,1,219.34075358508366,19996,6644,0.02702702702702703,0.0009221529632073818,1762,11969,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,2.0,#,#,#,#,#,#,#,#,#,#,#,1.0,0.11888111888111888,0.11888111888111888,1,190.7885479387853,19804,6837,0.05405405405405406,0.0007278009650605508,85,715,True
2.0,#,"-959.9991,579.1848484459829",#,#,#,"-959.9991,4935.5998500000005",#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,0.0,#,#,#,#,#,#,#,#,#,#,2.0,#,#,1.0,0.0,0.9471264367816092,0.9471264367816092,1,316.1383694471466,19965,6948,0.1891891891891892,0.001262572752822326,412,435,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.13229813664596274,0.13229813664596274,1,210.36877799208418,19877,7066,0.05405405405405406,0.0008401570729988205,213,1610,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,2.0,1.0,0.37460815047021945,0.37460815047021945,5,187.42066180855812,19972,7103,0.05405405405405406,0.0037425419339200874,717,1914,True
#,#,"-959.9991,2063.9980649999998",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,1.0,0.22673434856175972,0.22673434856175972,1,222.42672825572959,19952,7152,0.05405405405405406,0.0008883133264912038,268,1182,True
1.0,#,#,#,#,#,#,#,#,#,#,"-959.9991,1025.5023406695816",#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,1.0,0.2041932543299909,0.2041932543299909,1,219.49400878910404,19996,7493,0.08108108108108109,0.0008766008232075678,224,1097,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,0.0,#,#,#,#,#,#,#,#,#,#,2.0,1.0,0.37058823529411766,0.37058823529411766,1,195.15630269301056,19972,7725,0.08108108108108109,0.0007794024836423265,189,510,True
#,#,#,#,#,#,"-959.9991,4498.667255",#,#,#,#,"-959.9991,2540.7427949999997",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2.0,1.0,0.3250758341759353,0.3250758341759353,1,171.51560522377866,19972,7756,0.08108108108108109,0.0006849878115651427,643,1978,True
2.0,#,#,#,#,#,#,#,#,#,"-959.9991,1498.3279658",#,#,#,"-959.9991,1488.36593879",#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,1.0,#,#,#,#,0.0,0.9079949238578681,0.9079949238578681,1,260.4802369503254,19965,7799,0.13513513513513514,0.0010402889418241492,1431,1576,True
#,#,"-959.9991,579.1848484459829",#,#,#,#,#,"-959.9991,1912.7403828080623",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,6.0,#,#,#,0.0,#,1.0,#,#,#,#,#,0.0,0.9157303370786517,0.9157303370786517,1,247.18232610576933,19957,7859,0.13513513513513514,0.0009871806148243037,163,178,True
1.0,#,#,#,#,#,#,#,#,#,"-959.9991,3027.6873291",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-959.9991,2887.9973449999998",#,#,1.0,#,#,#,#,2.0,1.0,0.4519774011299435,0.4519774011299435,1,223.45348484971692,19972,8294,0.13513513513513514,0.0008924139198535852,80,177,True
#,#,#,"-959.9991,2858.9973449999998",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-959.9991,3480.9968049999998",#,#,#,#,#,#,#,2.0,1.0,0.36180657830142365,0.36180657830142365,1,168.56778428733026,19972,8357,0.08108108108108109,0.0006732149970185643,737,2037,True
