Specified Values,Specified Attribute Names,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"1.0, 0.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_10",1.0,1.0,1.0,14,44.57580007436165,9966,233,0.25,0.004439447724647622,314,314,False
"0.0, 0.0, 1.0, 1.0, 1.0","A_1, A_2, R_0, R_8, R_9",1.0,0.4033040723507798,0.9131944444444444,1,47.3859251083029,9885,427,0.25,0.0003370940815603369,263,288,False
"1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_12",0.0,1.0,1.0,5,45.02575717546298,9975,629,0.25,0.0016015215728015816,299,299,False
"1.0, 0.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, A_3, R_8, R_10",1.0,1.0,1.0,3,51.70858525272213,9943,635,0.3,0.0011035338878398245,152,152,False
"1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_2, A_3, R_8, R_12",0.0,1.0,1.0,13,50.074874487231476,9975,1051,0.25,0.004630895550044709,286,286,False
"1.0, 0.0, 0.0, 0.0, 0.0","A_2, R_2, R_4, R_7, R_14",0.0,0.07337624798711916,0.7701149425287356,1,46.786869635594385,9959,1244,0.25,0.0003328325196320886,201,261,False
"0.0, 0.0, 0.0, 1.0, 1.0","A_1, A_2, R_7, R_8, R_9",1.0,0.0764030242625156,0.7732342007434945,1,45.47004771254378,9880,1467,0.25,0.00032346490940363533,208,269,False
"1.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_2, A_3, R_3, R_11, R_15",1.0,1.0,1.0,1,55.44961756503172,9982,1589,0.3,0.0003944575918531799,141,141,False
"1.0, 0.0, 0.0, 0.0, 0.0","A_1, A_2, A_3, R_4, R_12",0.0,1.0,1.0,11,57.614707478585075,9960,1690,0.25,0.004508455737272057,246,246,False
"0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_0",0.0,1.0,1.0,10,42.626476280826395,9989,1862,0.25,0.0030323630570042244,256,256,False
"1.0, 0.0, 0.0, 0.0, 1.0, 0.0","A_1, A_2, A_3, R_4, R_6, R_12",0.0,1.0,1.0,3,53.17604922233867,9960,2105,0.3,0.0011348516315325035,124,124,False
