Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,# Rules Removed via Rule Compaction,Total Global Time,Total Matching Time,Total Covering Time,Total Crossover Time,Total Mutation Time,Total Attribute Tracking Time,Total Expert Knowledge Time,Total Model Initialization Time,Total Classifier Add Time,Total Rule Compaction Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
0,1.0,0,1,1,1,1,0.0,0,0,0,1,0,0,0.006555080413818359,3.814697265625e-06,5.793571472167969e-05,0.0,0.0,0.006186008453369141,4.220008850097656e-05,0.006193876266479492,3.0994415283203125e-06,0.0,9.5367431640625e-07,0.0,0.0,0.0001461505889892578
1,1.0,0,2,2,1,1,1.0,0,0,0,1,0,0,0.0067081451416015625,1.2636184692382812e-05,7.462501525878906e-05,0.0,0.0,0.006218910217285156,4.220008850097656e-05,0.006193876266479492,3.0994415283203125e-06,0.0,9.5367431640625e-07,0.0,0.0,0.0002200603485107422
2,1.0,0,3,3,1,1,2.0,0,0,0,1,0,0,0.006843090057373047,1.7642974853515625e-05,9.965896606445312e-05,0.0,0.0,0.006250858306884766,4.220008850097656e-05,0.006193876266479492,4.0531158447265625e-06,0.0,9.5367431640625e-07,0.0,0.0,0.000270843505859375
3,1.0,0,4,4,1,1,3.0,0,0,0,1,0,0,0.006971120834350586,2.384185791015625e-05,0.00012254714965820312,0.0,0.0,0.006283760070800781,4.220008850097656e-05,0.006193876266479492,5.245208740234375e-06,0.0,9.5367431640625e-07,0.0,0.0,0.0003161430358886719
4,1.0,0,5,5,1,1,4.0,0,0,0,1,0,0,0.007081270217895508,3.1948089599609375e-05,0.0001316070556640625,0.0,0.0,0.006311655044555664,4.220008850097656e-05,0.006193876266479492,6.198883056640625e-06,0.0,9.5367431640625e-07,0.0,0.0,0.0003616809844970703
5,1.0,0,6,6,1,1,5.0,0,0,0,1,0,0,0.007199287414550781,4.1961669921875e-05,0.0001456737518310547,0.0,0.0,0.006339550018310547,4.220008850097656e-05,0.006193876266479492,7.152557373046875e-06,0.0,1.9073486328125e-06,0.0,0.0,0.0004086494445800781
6,1.0,0,7,7,1,1,6.0,0,0,0,1,0,0,0.007323026657104492,5.4836273193359375e-05,0.00016355514526367188,0.0,0.0,0.006369590759277344,4.220008850097656e-05,0.006193876266479492,8.344650268554688e-06,0.0,1.9073486328125e-06,0.0,0.0,0.0004515647888183594
7,1.0,0,8,8,1,1,7.0,0,0,0,1,0,0,0.007438182830810547,6.794929504394531e-05,0.0001747608184814453,0.0,0.0,0.0063974857330322266,4.220008850097656e-05,0.006193876266479492,9.298324584960938e-06,0.0,2.86102294921875e-06,0.0,0.0,0.0004935264587402344
8,1.0,0,9,9,1,1,8.0,0,0,0,1,0,0,0.007569074630737305,8.296966552734375e-05,0.00019788742065429688,0.0,0.0,0.0064275264739990234,4.220008850097656e-05,0.006193876266479492,1.049041748046875e-05,0.0,3.814697265625e-06,0.0,0.0,0.0005357265472412109
9,1.0,0,9,9,1,1,5.0,0,0,0,0,0,0,0.00767827033996582,0.00010132789611816406,0.00019788742065429688,0.0,0.0,0.006455659866333008,4.220008850097656e-05,0.006193876266479492,1.049041748046875e-05,0.0,4.76837158203125e-06,0.0,0.0,0.0005776882171630859
