Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,# Rules Removed via Rule Compaction,Total Global Time,Total Matching Time,Total Covering Time,Total Crossover Time,Total Mutation Time,Total Attribute Tracking Time,Total Expert Knowledge Time,Total Model Initialization Time,Total Classifier Add Time,Total Rule Compaction Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
5000,1.0,0,1414,1791,135,116,2388.698717948718,0,0,0,0,0,0,15.946081161499023,7.722718715667725,0.0033032894134521484,0.028022289276123047,0.3826918601989746,0.40364575386047363,7.414817810058594e-05,0.006230592727661133,1.2790322303771973,0.0009059906005859375,2.093064069747925,1.2911720275878906,0.1464378833770752,1.062375783920288
5001,1.0,0,1414,1791,102,92,2695.3153153153153,0,0,0,0,0,0,15.950001239776611,7.725668430328369,0.0033042430877685547,0.028022289276123047,0.3826918601989746,0.4037938117980957,7.414817810058594e-05,0.006230592727661133,1.2790322303771973,0.0009059906005859375,2.093065023422241,1.2911720275878906,0.1464378833770752,1.0626296997070312
5002,0.6666666666666666,0,1415,1793,115,24,2988.964285714286,0,0,1,0,0,0,15.95640230178833,7.729199647903442,0.0033063888549804688,0.028022289276123047,0.3831310272216797,0.4038727283477783,7.414817810058594e-05,0.006230592727661133,1.2804663181304932,0.0009059906005859375,2.0930662155151367,1.29262375831604,0.14649581909179688,1.0629444122314453
5003,0.75,0,1417,1795,77,42,2319.553191489362,0,1,1,0,0,0,15.962600231170654,7.732008695602417,0.0033071041107177734,0.028067350387573242,0.38347506523132324,0.40401172637939453,7.414817810058594e-05,0.006230592727661133,1.2822351455688477,0.0009059906005859375,2.0930683612823486,1.2944059371948242,0.1465919017791748,1.0633275508880615
5004,0.8,0,1419,1797,116,52,2848.7272727272725,0,0,2,0,0,0,15.969468355178833,7.734977722167969,0.0033092498779296875,0.028067350387573242,0.3837311267852783,0.4041256904602051,7.414817810058594e-05,0.006230592727661133,1.2844913005828857,0.0009059906005859375,2.093069314956665,1.2966797351837158,0.146744966506958,1.0636017322540283
5005,0.8333333333333334,0,1419,1797,110,82,2986.9803921568628,0,0,0,0,0,0,15.973430156707764,7.737923622131348,0.0033102035522460938,0.028067350387573242,0.3837311267852783,0.40427565574645996,7.414817810058594e-05,0.006230592727661133,1.2844913005828857,0.0009059906005859375,2.0930705070495605,1.2966797351837158,0.146744966506958,1.063884973526001
5006,0.8571428571428571,0,1420,1799,87,38,2660.0697674418607,0,1,1,0,0,0,15.97969102859497,7.741070747375488,0.0033121109008789062,0.028141498565673828,0.3841738700866699,0.40437769889831543,7.414817810058594e-05,0.006230592727661133,1.286142349243164,0.0009059906005859375,2.0930726528167725,1.2983415126800537,0.14681601524353027,1.0641577243804932
5007,0.75,0,1422,1801,96,53,1913.7543859649122,0,0,2,0,0,0,15.986340284347534,7.74390983581543,0.0033130645751953125,0.028178691864013672,0.3846018314361572,0.40450263023376465,7.414817810058594e-05,0.006230592727661133,1.2882685661315918,0.0009059906005859375,2.093073606491089,1.3004834651947021,0.14698004722595215,1.064403772354126
5008,0.7777777777777778,0,1422,1801,93,27,2531.8709677419356,0,0,0,0,0,0,15.989841222763062,7.74669075012207,0.003314971923828125,0.028178691864013672,0.3846018314361572,0.4045865535736084,7.414817810058594e-05,0.006230592727661133,1.2882685661315918,0.0009059906005859375,2.0930747985839844,1.3004834651947021,0.14698004722595215,1.064659833908081
5009,0.7,0,1422,1801,74,31,2380.4375,0,0,0,0,0,0,15.993732213973999,7.749879837036133,0.0033159255981445312,0.028178691864013672,0.3846018314361572,0.4046757221221924,7.414817810058594e-05,0.006230592727661133,1.2882685661315918,0.0009059906005859375,2.0930769443511963,1.3004834651947021,0.14698004722595215,1.0649116039276123
5010,0.7272727272727273,0,1424,1803,114,73,2660.84,0,0,2,0,0,0,15.999702215194702,7.752820014953613,0.0033168792724609375,0.02821969985961914,0.38464784622192383,0.40482473373413086,7.414817810058594e-05,0.006230592727661133,1.2899885177612305,0.0009059906005859375,2.0930778980255127,1.302215576171875,0.14708495140075684,1.0651936531066895
5011,0.75,0,1426,1805,148,144,2517.093567251462,0,0,2,0,0,0,16.006928205490112,7.756388187408447,0.00331878662109375,0.02821969985961914,0.38487911224365234,0.4050467014312744,7.414817810058594e-05,0.006230592727661133,1.2916224002838135,0.0009059906005859375,2.093078851699829,1.3038606643676758,0.14727210998535156,1.0655615329742432
5012,0.6923076923076923,0,1428,1807,88,23,2190.92,0,0,2,0,0,0,16.012293338775635,7.759198188781738,0.0033197402954101562,0.02821969985961914,0.38508009910583496,0.40511369705200195,7.414817810058594e-05,0.006230592727661133,1.2931854724884033,0.0009059906005859375,2.0930795669555664,1.3054327964782715,0.1473219394683838,1.0657904148101807
5013,0.7142857142857143,0,1428,1807,91,46,2802.2258064516127,0,0,0,0,0,0,16.015958070755005,7.762083292007446,0.0033206939697265625,0.02821969985961914,0.38508009910583496,0.4052155017852783,7.414817810058594e-05,0.006230592727661133,1.2931854724884033,0.0009059906005859375,2.093081474304199,1.3054327964782715,0.1473219394683838,1.066044569015503
5014,0.7333333333333333,0,1429,1809,76,49,2956.0344827586205,0,0,1,0,0,0,16.022443056106567,7.764876365661621,0.0033218860626220703,0.02821969985961914,0.38571739196777344,0.40532946586608887,7.414817810058594e-05,0.006230592727661133,1.2952556610107422,0.0009059906005859375,2.093083620071411,1.307527780532837,0.14740490913391113,1.0662665367126465
5015,0.75,0,1429,1809,138,40,3013.2,0,0,0,0,0,0,16.027074098587036,7.768356561660767,0.003322601318359375,0.02821969985961914,0.38571739196777344,0.40544581413269043,7.414817810058594e-05,0.006230592727661133,1.2952556610107422,0.0009059906005859375,2.0930845737457275,1.307527780532837,0.14740490913391113,1.0666697025299072
5016,0.7058823529411765,0,1430,1811,118,42,2245.9,0,0,2,0,0,0,16.033347129821777,7.771439552307129,0.0033235549926757812,0.02821969985961914,0.38614344596862793,0.4055616855621338,7.414817810058594e-05,0.006230592727661133,1.2966415882110596,0.0009059906005859375,2.0930867195129395,1.3089289665222168,0.14748692512512207,1.0670669078826904
5017,0.7222222222222222,0,1430,1811,87,41,2441.68085106383,0,0,0,0,0,0,16.037108182907104,7.774405479431152,0.0033245086669921875,0.02821969985961914,0.38614344596862793,0.40565967559814453,7.414817810058594e-05,0.006230592727661133,1.2966415882110596,0.0009059906005859375,2.093087673187256,1.3089289665222168,0.14748692512512207,1.06734299659729
5018,0.6842105263157895,0,1432,1813,84,30,2233.4848484848485,0,1,1,0,0,0,16.04244613647461,7.777238368988037,0.0033254623413085938,0.028253555297851562,0.3863513469696045,0.4057297706604004,7.414817810058594e-05,0.006230592727661133,1.2981235980987549,0.0009059906005859375,2.0930886268615723,1.3104219436645508,0.14754891395568848,1.0675580501556396
5019,0.7,0.763471074380166,1434,1815,87,38,2682.978723404255,0,1,1,0,0,0,16.048930168151855,7.779986381530762,0.0033266544342041016,0.02829289436340332,0.3866713047027588,0.4058215618133545,7.414817810058594e-05,0.006230592727661133,1.2996618747711182,0.0009059906005859375,2.0930895805358887,1.3119709491729736,0.14761710166931152,1.0677921772003174
5020,0.6666666666666666,0.763471074380166,1434,1815,78,55,2524.1774193548385,0,0,0,0,0,0,16.052600145339966,7.782891511917114,0.003327608108520508,0.02829289436340332,0.3866713047027588,0.4059274196624756,7.414817810058594e-05,0.006230592727661133,1.2996618747711182,0.0009059906005859375,2.093090534210205,1.3119709491729736,0.14761710166931152,1.068990707397461
5021,0.6818181818181818,0.763471074380166,1434,1815,103,70,1827.3488372093022,0,0,0,0,0,0,16.056272268295288,7.785720586776733,0.0033288002014160156,0.02829289436340332,0.3866713047027588,0.406036376953125,7.414817810058594e-05,0.006230592727661133,1.2996618747711182,0.0009059906005859375,2.0930917263031006,1.3119709491729736,0.14761710166931152,1.0692112445831299
5022,0.6956521739130435,0.763471074380166,1436,1817,90,64,2972.8705882352942,0,1,2,0,0,0,16.062000274658203,7.788453578948975,0.0033288002014160156,0.02834320068359375,0.38701319694519043,0.406158447265625,7.414817810058594e-05,0.006230592727661133,1.30131196975708,0.0009059906005859375,2.093092918395996,1.3136298656463623,0.14771795272827148,1.0693986415863037
5023,0.7083333333333334,0.763471074380166,1437,1819,78,51,2888.208955223881,0,0,2,0,0,0,16.067466020584106,7.791250705718994,0.0033299922943115234,0.02834320068359375,0.38738536834716797,0.40627551078796387,7.414817810058594e-05,0.006230592727661133,1.3027677536010742,0.0009059906005859375,2.0930938720703125,1.3150935173034668,0.14779376983642578,1.069591760635376
5024,0.72,0.763471074380166,1438,1821,103,85,2120.9814814814813,0,0,1,0,0,0,16.07356333732605,7.794030666351318,0.0033321380615234375,0.02834320068359375,0.38762521743774414,0.4064297676086426,7.414817810058594e-05,0.006230592727661133,1.3044941425323486,0.0009059906005859375,2.0930960178375244,1.3168325424194336,0.147918701171875,1.0699477195739746
5025,0.7307692307692307,0.763471074380166,1440,1823,121,90,2681.22131147541,0,1,2,0,0,0,16.07964539527893,7.796983480453491,0.0033330917358398438,0.02838420867919922,0.38785719871520996,0.40657472610473633,7.414817810058594e-05,0.006230592727661133,1.3060252666473389,0.0009059906005859375,2.093096971511841,1.3183746337890625,0.14805054664611816,1.070246696472168
5026,0.7407407407407407,0.763471074380166,1441,1825,98,65,2886.4545454545455,0,1,2,0,0,0,16.0860013961792,7.799989461898804,0.00333404541015625,0.028428077697753906,0.38831520080566406,0.4067089557647705,7.414817810058594e-05,0.006230592727661133,1.3076751232147217,0.0009059906005859375,2.0930979251861572,1.3200345039367676,0.14815163612365723,1.0704984664916992
