Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,# Rules Removed via Rule Compaction,Total Global Time,Total Matching Time,Total Covering Time,Total Crossover Time,Total Mutation Time,Total Attribute Tracking Time,Total Expert Knowledge Time,Total Model Initialization Time,Total Classifier Add Time,Total Rule Compaction Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
5000,1.0,0,1620,2000,122,77,2781.7522123893805,0,0,0,0,0,0,15.945059299468994,7.722155809402466,0.003303050994873047,0.028022289276123047,0.3826918601989746,0.40356922149658203,6.914138793945312e-05,0.006226062774658203,1.2790322303771973,0.0009059906005859375,2.093064069747925,1.2911720275878906,0.1464378833770752,1.0622658729553223
5001,1.0,0,1620,2000,116,91,2316.198275862069,0,1,2,0,2,0,15.953221321105957,7.724758863449097,0.003304004669189453,0.028058528900146484,0.38273096084594727,0.40368127822875977,6.914138793945312e-05,0.006226062774658203,1.2803335189819336,0.0009059906005859375,2.096240997314453,1.2924811840057373,0.1465439796447754,1.0624618530273438
5002,0.6666666666666666,0,1620,2000,81,19,1553.3,0,0,0,0,0,0,15.956175327301025,7.727244853973389,0.003304004669189453,0.028058528900146484,0.38273096084594727,0.40372729301452637,6.914138793945312e-05,0.006226062774658203,1.2803335189819336,0.0009059906005859375,2.0962419509887695,1.2924811840057373,0.1465439796447754,1.0626189708709717
5003,0.75,0,1621,2000,107,90,2565.822033898305,0,0,2,0,1,0,15.965037107467651,7.730227947235107,0.0033049583435058594,0.028058528900146484,0.38310980796813965,0.40384435653686523,6.914138793945312e-05,0.006226062774658203,1.2817754745483398,0.0009059906005859375,2.099256992340088,1.2939343452453613,0.1466519832611084,1.062854290008545
5004,0.8,0,1621,2000,145,128,2378.1,0,1,1,0,2,0,15.97352910041809,7.732959985733032,0.0033059120178222656,0.028095722198486328,0.3831367492675781,0.40398645401000977,6.914138793945312e-05,0.006226062774658203,1.2830586433410645,0.0009059906005859375,2.1023619174957275,1.2952241897583008,0.14678692817687988,1.063098430633545
5005,0.6666666666666666,0,1621,2000,125,25,1023.7692307692307,0,0,0,0,0,0,15.97691011428833,7.735694169998169,0.0033059120178222656,0.028095722198486328,0.3831367492675781,0.4040384292602539,6.914138793945312e-05,0.006226062774658203,1.2830586433410645,0.0009059906005859375,2.102362871170044,1.2952241897583008,0.14678692817687988,1.063300609588623
5006,0.7142857142857143,0,1621,2000,108,86,2212.0098039215686,0,0,0,0,0,0,15.980412244796753,7.738417148590088,0.003306865692138672,0.028095722198486328,0.3831367492675781,0.40413856506347656,6.914138793945312e-05,0.006226062774658203,1.2830586433410645,0.0009059906005859375,2.1023638248443604,1.2952241897583008,0.14678692817687988,1.0634968280792236
5007,0.75,0,1622,2000,96,68,2662.4666666666667,0,1,2,0,1,0,15.988612174987793,7.741182327270508,0.003307819366455078,0.02813863754272461,0.3833146095275879,0.40422964096069336,6.914138793945312e-05,0.006226062774658203,1.2843575477600098,0.0009059906005859375,2.105449914932251,1.29653000831604,0.14686799049377441,1.0636625289916992
5008,0.7777777777777778,0,1623,2000,91,50,2408.796296296296,0,1,2,0,1,0,15.996426343917847,7.7437334060668945,0.003307819366455078,0.02817678451538086,0.3834707736968994,0.40430474281311035,6.914138793945312e-05,0.006226062774658203,1.2857017517089844,0.0009059906005859375,2.1084389686584473,1.2978813648223877,0.14693093299865723,1.0638375282287598
5009,0.7,0,1623,2000,88,37,2573.6666666666665,0,1,2,0,2,0,16.004403352737427,7.74631142616272,0.003307819366455078,0.0282137393951416,0.38378286361694336,0.4043729305267334,6.914138793945312e-05,0.006226062774658203,1.2870807647705078,0.0009059906005859375,2.111438035964966,1.299267292022705,0.14697885513305664,1.0640084743499756
